section,record_type,field,value
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,Data,Order,Stocks
Trades,SubTotal,,Stocks
Trades,Total,,Stocks
Trades,Header,DataDiscriminator,Asset Category
Trades,Data,Order,Forex
Trades,Data,Order,Forex
Trades,Data,Order,Forex
Trades,Data,Order,Forex
Trades,SubTotal,,Forex
Trades,Total,,Forex
Trades,Total,,Forex
Forex P/L Details,Header,Asset Category,Currency
Forex P/L Details,Data,Forex,USD
Forex P/L Details,Data,Forex,USD
Forex P/L Details,Data,Forex,USD
Forex P/L Details,Data,Forex,USD
Forex P/L Details,Data,Forex,USD
Forex P/L Details,Data,Forex,USD
Forex P/L Details,Data,Forex,USD
Forex P/L Details,Data,Forex,USD
Forex P/L Details,Data,Total,
Transfers,Header,Asset Category,Currency
Transfers,Data,Stocks,USD
Transfers,Data,Stocks,USD
Transfers,Data,Total,
Corporate Actions,Header,Asset Category,Currency
Corporate Actions,Data,Stocks,USD
Corporate Actions,Data,Total,
Deposits & Withdrawals,Header,Currency,Account
Deposits & Withdrawals,Data,ILS,U3314869
Deposits & Withdrawals,Data,ILS,U3314869
Deposits & Withdrawals,Data,ILS,U3314869
Deposits & Withdrawals,Data,ILS,U3314869
Deposits & Withdrawals,Data,Total,
Deposits & Withdrawals,Data,Total in USD,
Deposits & Withdrawals,Data,USD,U3314869
Deposits & Withdrawals,Data,USD,U21335661
Deposits & Withdrawals,Data,Total,
Deposits & Withdrawals,Data,Total Deposits & Withdrawals in USD,
Dividends,Header,Currency,Account
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U21335661
Dividends,Data,USD,U21335661
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U21335661
Dividends,Data,USD,U21335661
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U3314869
Dividends,Data,USD,U21335661
Dividends,Data,USD,U3314869
Dividends,Data,Total,
Withholding Tax,Header,Currency,Account
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
Withholding Tax,Data,USD,U3314869
