section,record_type,field,value
Realized & Unrealized Performance Summary,Data,Stocks,NFLX
Realized & Unrealized Performance Summary,Data,Stocks,NVDA
Realized & Unrealized Performance Summary,Data,Stocks,O
Realized & Unrealized Performance Summary,Data,Stocks,OKLO
Realized & Unrealized Performance Summary,Data,Stocks,ORCL
Realized & Unrealized Performance Summary,Data,Stocks,PANW
Realized & Unrealized Performance Summary,Data,Stocks,PLTR
Realized & Unrealized Performance Summary,Data,Stocks,QQQ
Realized & Unrealized Performance Summary,Data,Stocks,QQQI
Realized & Unrealized Performance Summary,Data,Stocks,RGTI
Realized & Unrealized Performance Summary,Data,Stocks,RKLB
Realized & Unrealized Performance Summary,Data,Stocks,SBUX
Realized & Unrealized Performance Summary,Data,Stocks,SMH
Realized & Unrealized Performance Summary,Data,Stocks,SPG
Realized & Unrealized Performance Summary,Data,Stocks,T
Realized & Unrealized Performance Summary,Data,Stocks,TSLA
Realized & Unrealized Performance Summary,Data,Stocks,TXRH
Realized & Unrealized Performance Summary,Data,Stocks,UBER
Realized & Unrealized Performance Summary,Data,Stocks,ULTY
Realized & Unrealized Performance Summary,Data,Stocks,V
Realized & Unrealized Performance Summary,Data,Stocks,VICI
Realized & Unrealized Performance Summary,Data,Stocks,VRT
Realized & Unrealized Performance Summary,Data,Total,
Realized & Unrealized Performance Summary,Data,Forex,ILS
Realized & Unrealized Performance Summary,Data,Total,
Realized & Unrealized Performance Summary,Data,Total (All Assets),
Month & Year to Date Performance Summary,Header,Asset Category,Symbol
Month & Year to Date Performance Summary,Data,Stocks,AMZN
Month & Year to Date Performance Summary,Data,Stocks,ASML
Month & Year to Date Performance Summary,Data,Stocks,ASTS
Month & Year to Date Performance Summary,Data,Stocks,CRWD
Month & Year to Date Performance Summary,Data,Stocks,EFX
Month & Year to Date Performance Summary,Data,Stocks,FICO
Month & Year to Date Performance Summary,Data,Stocks,GE
Month & Year to Date Performance Summary,Data,Stocks,GOOG
Month & Year to Date Performance Summary,Data,Stocks,IGV
Month & Year to Date Performance Summary,Data,Stocks,JEPI
Month & Year to Date Performance Summary,Data,Stocks,JPM
Month & Year to Date Performance Summary,Data,Stocks,LMT
Month & Year to Date Performance Summary,Data,Stocks,MA
Month & Year to Date Performance Summary,Data,Stocks,META
Month & Year to Date Performance Summary,Data,Stocks,MSFT
Month & Year to Date Performance Summary,Data,Stocks,MSTY.OLD
Month & Year to Date Performance Summary,Data,Stocks,NVDA
Month & Year to Date Performance Summary,Data,Stocks,O
Month & Year to Date Performance Summary,Data,Stocks,OKLO
Month & Year to Date Performance Summary,Data,Stocks,PLTR
Month & Year to Date Performance Summary,Data,Stocks,QQQ
Month & Year to Date Performance Summary,Data,Stocks,QQQI
Month & Year to Date Performance Summary,Data,Stocks,RGTI
Month & Year to Date Performance Summary,Data,Stocks,RKLB
Month & Year to Date Performance Summary,Data,Stocks,SMH
Month & Year to Date Performance Summary,Data,Stocks,TSLA
Month & Year to Date Performance Summary,Data,Stocks,UBER
Month & Year to Date Performance Summary,Data,Stocks,ULTY.OLD
Month & Year to Date Performance Summary,Data,Stocks,VICI
Month & Year to Date Performance Summary,Data,Stocks,VRT
Month & Year to Date Performance Summary,Data,Total,
Month & Year to Date Performance Summary,Data,Total (All Assets),
Cash Report,Header,Currency Summary,Currency
Cash Report,Data,Starting Cash,Base Currency Summary
Cash Report,Data,Commissions,Base Currency Summary
